,Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
94,Anthony Tolliver,DET,31,43,22,21,19.2,97.7,2.8,14.3,19.8,0.4,14.5,0.3,18.5,5.1,4,3.6,16.6,0.089
94,Bradley Beal,WAS,23,21,10,11,34,104.6,3.4,10.1,15.3,1,16.4,0.3,11.8,12.6,8,9.2,28.7,0.089
94,Joakim Noah,CHI,31,29,15,14,21.9,99.9,5.8,23.5,33.9,0.6,23.1,1,38.7,7.3,6.3,5.4,18,0.089
98,Anthony Brown,LAL,23,21,3,18,18.1,97.2,1.9,9.8,15.2,0.4,14.8,0.2,10.5,5,5,4.3,16.9,0.088
98,Elfrid Payton,ORL,22,38,19,19,29.5,103.3,2.7,9.2,13,1.4,25.9,0.2,6.7,9.7,6.6,7.9,24.8,0.088
98,Jared Dudley,WAS,30,40,19,21,28.9,102.9,3,10.9,16.4,1,17.5,0.1,6.3,8.9,7,6.4,23.6,0.088
98,Kirk Hinrich,ATL,35,28,17,11,15.7,95,1.3,7.7,11.6,0.4,17.9,0,2,5.2,4.3,3.9,13.6,0.088
98,Taj Gibson,CHI,31,43,25,18,25.4,101.5,4.2,14,21.4,0.5,16.7,1,30.3,8.6,8.3,7,21.5,0.088
103,CJ Miles,IND,29,39,20,19,26.5,102.6,2.7,9.8,15.3,1.1,19.3,0.5,19.2,9.4,7.8,7.2,24.6,0.087
103,Derrick Rose,CHI,27,37,20,17,32.6,104.2,2.7,7.1,10.8,0.6,15.4,0.3,6.9,10.5,10.5,8.5,31.4,0.087
103,Keith Appling,ORL,24,2,0,2,7.5,78.1,0.5,0,8.3,0.5,50,0,0,3.5,0.5,1,3,0.087
103,Kyrie Irving,CLE,24,16,12,4,27,102.3,1.8,7.1,9.9,0.8,21.7,0.3,12.1,7.4,5.8,6.5,23.1,0.087
107,Eric Bledsoe,PHX,26,31,12,19,34.2,104.8,3.5,10,14.6,2,31.8,0.6,20.9,12.8,9.2,11,31,0.086
107,Festus Ezeli,GSW,26,39,36,3,18,97.6,3.8,18.8,28,0.4,13.4,1.3,52.1,6.5,4.2,5.5,17.2,0.086
109,Kent Bazemore,ATL,26,40,24,16,28.2,103.2,4.2,14.4,22.5,1.3,23.4,0.5,12.7,9.2,8.4,6.9,24.6,0.085
109,Robert Covington,PHI,25,35,6,29,26.2,102.5,4.7,18.7,26.8,1.6,33.3,0.6,19.1,10.5,6.2,7.8,22.1,0.085
111,Evan Fournier,ORL,23,42,20,22,31.9,104.3,2.5,7.9,11.5,1.4,23.2,0,1.6,10.5,7,8.8,26.2,0.084
111,Jamal Crawford,LAC,36,43,28,15,25.6,102.3,1.5,5.7,9.2,0.5,11.1,0.1,4,8.4,8.1,6.9,22,0.084
111,Marcin Gortat,WAS,32,35,15,20,31.8,104.3,7,22.1,32.8,0.7,12.5,1.3,46.9,10.5,8.2,8.2,25.5,0.084
111,Marvin Williams,CHA,30,44,21,23,29.4,103.6,5.2,17.4,24.9,0.6,13.5,1,30.1,8.5,6.8,7.1,22.6,0.084
115,Amir Johnson,BOS,29,41,20,21,23.9,101.5,4.1,16.4,25.7,0.7,14.3,1.2,48.5,7.9,7.2,4.8,21,0.083
115,Courtney Lee,CHA,30,43,23,20,29.4,103.5,2.2,7.9,11.7,1.1,19.8,0.3,10.6,9,6.9,9.6,24,0.083
115,Hassan Whiteside,MIA,27,41,22,19,28.9,103.5,8.1,27.4,40.5,0.6,16.1,3.9,76.3,9,8.1,5.9,25,0.083
115,Jonas Valančiūnas,TOR,24,26,17,9,26.9,102.8,6,23.4,32.7,0.4,8.9,1.3,47.1,7.4,6,6.8,23.6,0.083
115,Josh McRoberts,MIA,29,20,12,8,15.5,95.9,2.2,13.2,19,0.5,25.6,0.2,8.3,4.8,4.2,2.6,11.9,0.083
115,Paul Millsap,ATL,31,44,26,18,32.8,104.6,6.3,18.5,29,1.9,29.6,1.4,31.9,10.9,10,8.6,29.1,0.083
121,Austin Rivers,LAC,23,40,26,14,22,101.2,1.5,6.4,10.2,0.6,17.5,0.2,6.5,8.2,6.9,6.4,19.1,0.082
121,Bismack Biyombo,TOR,23,43,28,15,22.8,101.3,6,25.2,36.6,0.2,5.2,1.6,54,7.5,4.8,5.3,18,0.082
121,Gordon Hayward,UTA,26,43,19,24,35.6,105.4,4.2,12.4,18.3,1.2,20.5,0.3,7.7,10.8,9.2,9,29.2,0.082
121,Jonathon Simmons,SAS,26,30,27,3,13.4,93.6,1.4,10,14,0.4,18.2,0.1,4.9,4.3,3.4,3.7,11.5,0.082
121,Mario Chalmers,MIA,30,42,25,17,22.3,101.3,2.2,10,14.9,1.4,32.4,0.2,8.4,7.3,5.6,6.2,17.2,0.082
126,Brandon Jennings,ORL,26,13,6,7,17.5,98.3,1.8,9.9,13,0.4,22.7,0,0,6.5,3.9,3.2,15.1,0.081
126,DeMarre Carroll,TOR,29,23,14,9,31.9,104.8,3.6,11.6,16.5,1.7,28.6,0.2,8.2,10.5,6.6,9,25.9,0.081
126,Frank Kaminsky,CHA,23,43,20,23,21.3,100.6,3.2,14.6,20.9,0.4,14.8,0.6,26.6,6.7,4.9,5.4,16,0.081
126,Nerlens Noel,PHI,22,38,6,32,29.3,103.9,6.1,20.5,30.9,1.6,30.6,1.6,40.1,13.8,8.2,9.9,26.3,0.081
130,Anthony Davis,NOP,23,38,16,22,35.7,105.5,8.2,22.7,32.5,1.3,22.9,2.5,60.3,11,9,8.8,30.3,0.08
130,Jodie Meeks,DET,28,2,2,0,8.5,82.4,0.5,0,7.1,0,0,0,0,3.5,0,3.5,7,0.08
130,Kristaps Porziņģis,NYK,20,46,22,24,28.2,103.7,5.8,19.2,28.5,0.8,23,2,53.9,9.2,8.3,6.3,24.9,0.08
133,Dwight Howard,HOU,30,37,19,18,32.5,104.9,8.5,26.5,39.7,1,15.1,1.6,50,13.7,9.3,8.2,29.7,0.079
134,Dion Waiters,OKC,24,45,33,12,26.9,103.6,2.4,8.6,12.9,0.9,21.2,0.2,5,10.3,8.1,6.4,24.3,0.078
134,Mike Conley,MEM,28,39,21,18,31.5,104.7,2.4,8.2,12.2,1.3,21.8,0.3,11.1,9.3,7.3,9.7,24.6,0.078
134,Wesley Johnson,LAC,28,43,28,15,17.9,99.1,2,11.1,17.3,0.9,24.2,0.6,26.7,5.3,5.1,4.7,16,0.078
137,Andrew Nicholson,ORL,26,32,16,16,16.3,97.8,3.2,18.4,27,0.2,8.3,0.3,17.5,5,4.4,3.6,12.4,0.077
137,Brook Lopez,BKN,28,44,11,33,33.4,105.4,5.4,16.2,23,0.7,14.1,1.9,67.2,12.3,7.9,10.1,30,0.077
137,Nikola Mirotic,CHI,25,43,25,18,24.1,102.6,4.9,18.6,28.2,0.9,26.4,0.7,22.4,7.4,6.9,6.2,23.8,0.077
137,Otto Porter Jr.,WAS,23,34,15,19,32,105.1,4.2,13.8,20.3,1.6,26.1,0.4,15.6,11.3,7.4,8.2,26.6,0.077
141,Darrell Arthur,DEN,28,41,14,27,21.1,101.3,2.9,12.9,19.9,0.9,24.8,0.7,35.7,7.5,5.7,5.6,15.7,0.076
141,Dwight Powell,DAL,24,43,23,20,17.3,99.2,3.6,19.9,29.6,0.6,21.7,0.5,38.2,6.3,4.6,5.5,15.4,0.076
141,Mo Williams,CLE,33,27,17,10,22.8,102.3,2.2,9.5,13.4,0.4,14.7,0.2,10,9,4.9,6,19.9,0.076
141,Trey Burke,UTA,23,43,19,24,24.6,103,1.7,7.3,11.1,0.7,16.5,0.1,4.6,7.6,6.3,5.5,19.7,0.076
145,Aaron Gordon,ORL,20,41,19,22,19.6,100.7,3.3,16.9,25.1,0.6,16.9,0.7,26,6.5,4.2,4.8,15.8,0.075
145,Doug McDermott,CHI,24,42,24,18,21.5,101.7,1.9,7.8,11.5,0.2,6.2,0.1,3.9,7.3,6.5,5.2,18.5,0.075
145,Dwyane Wade,MIA,34,41,21,20,30.1,104.9,2.8,9.1,13.4,0.9,25.5,0.4,9.5,10.3,8.1,6.7,26.8,0.075
145,Raymond Felton,DAL,32,44,24,20,26.5,103.7,2.8,10.2,14.9,0.8,20.8,0.2,7.9,8.8,7.7,8.7,22,0.075
145,Rodney Hood,UTA,23,41,18,23,30.5,104.8,2.8,10.1,15.1,0.9,18.2,0.2,7.9,9,7,7.5,25.1,0.075
145,Salah Mejri,DAL,30,7,2,5,7.5,83.8,1.7,0,23.5,0.1,12.5,0.7,83.3,3.1,1.1,4,3.7,0.075
151,Jason Smith,ORL,30,37,18,19,14.9,97.1,1.9,12.4,18.4,0.4,16.3,0.7,41,5,3.5,3.5,11.7,0.074
151,Kyle Anderson,SAS,22,41,36,5,12.2,93,1.9,15.3,22.4,0.4,20.8,0.4,22.9,3.3,2.9,2.6,10.2,0.074
151,Nene,WAS,33,20,10,10,17.6,99.5,3.7,22,32.3,1.1,26.2,0.4,34.8,5.5,4.2,3.4,15.4,0.074
151,Richard Jefferson,CLE,36,39,29,10,19.5,100.9,1.3,6.4,9.4,0.5,20,0.3,19.4,7,4.2,3.9,16.2,0.074
151,Willie Cauley-Stein,SAC,22,29,14,15,19.1,100.3,3.6,17.9,26.3,0.7,19,1.1,55.9,6.7,5.1,5.3,15.2,0.074
156,Eric Gordon,NOP,27,41,14,27,33.4,105.8,1.9,5.6,8.1,1,18.4,0.3,8.1,10.8,8.6,8.7,28.5,0.073
156,Stanley Johnson,DET,20,44,23,21,22.2,102.4,3.2,14.1,19.8,0.7,22.8,0.2,8.8,7,4.5,4.9,19.6,0.073
156,Tyreke Evans,NOP,26,24,11,13,31.2,105.1,4.5,14.3,20.5,1.3,27.6,0.3,9.8,9.3,7.6,5.8,25.7,0.073
159,Andrew Wiggins,MIN,21,44,14,30,34.9,106.2,2.3,6.7,9.9,0.8,14.3,0.5,15.8,12,8.9,9,32.4,0.072
159,Corey Brewer,HOU,30,45,23,22,20.1,101.8,2,9.5,14.9,1.1,26.3,0.1,5.5,8.4,6.4,6,18.9,0.072
161,Clint Capela,HOU,22,44,23,21,21.6,102.3,4.4,20.5,30.4,1,21.2,1.2,52.4,8.3,5.8,5.8,19.5,0.071
161,David Lee,DAL,33,30,15,15,15.7,98.8,3,18.5,28.1,0.4,12.9,0.4,36.1,5.1,3.8,3.4,13.7,0.071
161,E'Twaun Moore,CHI,27,32,17,15,15.2,97.8,1.4,8.1,12.3,0.5,26.7,0.1,6.9,5.3,4.5,3.9,13.4,0.071
161,Ersan Ilyasova,ORL,29,44,23,21,27.9,104.7,3.5,13.2,19,0.8,16.8,0.6,28.3,9.2,6.3,6.8,27.2,0.071
161,Langston Galloway,NYK,24,46,22,24,24,103.5,2.9,11.6,18.2,0.8,23.2,0.2,9.3,8.2,6.8,5.2,20.8,0.071
161,Metta World Peace,LAL,36,19,3,16,17.5,99.4,2,10.6,16,0.6,27.3,0.5,25,5.5,4.5,4.5,13.9,0.071
161,O.J. Mayo,MIL,28,29,11,18,27.1,104.5,2.3,8.3,12.5,1.2,27.4,0.1,3.8,9.4,8.1,7.3,23.5,0.071
161,Phil Pressey,POR,25,14,1,13,12.1,95.4,1.6,12.2,19,0.8,25.6,0.1,4.2,5.4,3.3,4.9,10.7,0.071
169,Carmelo Anthony,NYK,32,42,22,20,34.6,106.3,6,16.3,24.9,0.9,21.4,0.5,12.2,12.1,10.3,8.6,30.6,0.07
169,Channing Frye,CLE,33,37,18,19,18,100.3,2.7,16.1,22.7,0.5,15.2,0.5,30.4,5.4,3.5,4.8,13.9,0.07
169,Jeff Green,LAC,29,45,25,20,28.6,104.6,3.4,12.5,18.9,0.7,14,0.3,13.3,8.7,6.6,7.7,22.3,0.07
169,Jeff Withey,UTA,26,35,16,19,15.5,98.3,2.8,18.7,27.5,0.5,20,1.3,68.7,4.1,3.5,2.9,11.8,0.07
169,Jonas Jerebko,BOS,29,43,23,20,13.5,96.4,2.1,14.8,23,0.2,9.4,0.2,13.2,4.7,3.6,3.2,12,0.07
169,Kevin Garnett,MIN,40,38,14,24,14.6,97.4,3.6,23.5,33.5,0.7,28.3,0.3,16.9,3.5,3.7,2.5,12.3,0.07
169,Luis Scola,TOR,36,43,28,15,23.5,103.2,4.2,18.8,26.7,0.6,14.5,0.4,18.4,7.5,5.6,5.8,19.7,0.07
169,Matt Barnes,MEM,36,42,24,18,26.7,104.5,4,15.4,22.6,1.2,25.3,0.7,25.2,8.9,6,8.5,19.9,0.07
169,Patrick Beverley,HOU,27,34,17,17,25.6,103.9,2,7.9,11.7,1.1,20.9,0.3,9.5,9.3,7.1,6.1,22.4,0.07
169,Ramon Sessions,WAS,30,41,20,21,21.3,102.4,2.2,11,16.6,0.7,18,0.1,4.3,6,5,4.9,18.4,0.07
169,Ronnie Price,PHX,33,34,11,23,14.8,97.9,0.8,5.6,8.3,1.1,34.3,0.1,11.6,5.3,3.3,3.8,12,0.07
180,Al Jefferson,CHA,31,19,12,7,25.2,103.9,4.9,19.6,27.6,0.7,16.7,1.1,31.7,6.4,6,4.9,21.9,0.069
180,Jarell Martin,MEM,22,2,1,1,4.6,71.4,0,0,0,0,0,0,0,2,3.5,0,2,0.069
180,Jerami Grant,PHI,22,42,5,37,25.6,104.3,3.3,12.1,18.2,0.7,17.4,1.6,40.5,12,7.6,9,22.6,0.069
180,Will Barton,DEN,25,44,17,27,29,105.2,5.1,17.7,26.5,0.9,21.8,0.4,15.8,9.7,7.4,7.2,24.5,0.069
184,Devin Harris,DAL,33,39,22,17,19.8,102.3,1.7,8.4,12.8,1,30.4,0.2,13.6,6,5.6,6.6,16.8,0.068
184,Josh Smith,HOU,30,33,20,13,14.6,98,2.8,18.5,29.8,0.6,23.3,1.1,59.7,5.9,4.3,4,12.4,0.068
184,Rajon Rondo,SAC,30,41,19,22,35,106.6,5.3,14.3,20.8,1.8,29.9,0.2,6.5,14.6,9,10.7,29.9,0.068
184,Tony Allen,MEM,34,38,22,16,24.1,103.6,2.8,12.6,19.1,1.7,34.2,0.3,14.5,7.6,6,7.1,19.4,0.068
188,Pablo Prigioni,LAC,39,23,15,8,14.1,97.9,1.1,8.4,12.7,1.1,36.6,0,0,4.3,4.7,5.3,13.8,0.067
189,Cody Zeller,CHA,23,40,18,22,24.8,104.3,4.1,16.7,23.8,0.9,23.5,0.7,25.9,7.8,5.6,6.2,18.7,0.066
189,Jeff Teague,ATL,28,42,25,17,28.4,105.3,2.1,7.2,11.1,1.2,22.7,0.3,9.5,9.5,8.5,7.3,26,0.066
189,Jerian Grant,NYK,23,43,20,23,15.8,99.9,1.5,9.2,14.4,0.5,20.2,0.1,7.4,5.7,3.8,3.1,14,0.066
189,Jordan Adams,MEM,21,2,0,2,7.3,88.2,1,0,22.2,1.5,42.9,0,0,2.5,1,2.5,6,0.066
189,Tayshaun Prince,MIN,36,45,14,31,20.9,102.5,1.6,7.4,10.9,0.5,14.1,0.2,9.2,6.5,5.6,4.3,18.4,0.066
194,Al-Farouq Aminu,POR,25,46,20,26,29.1,105.6,5.3,17.8,25.8,0.8,19.7,0.7,27.4,10.5,7.5,5.7,25.7,0.065
194,Isaiah Canaan,PHI,25,43,6,37,25.1,104.4,1.9,7.7,11.6,0.7,17,0.2,6.4,10.5,7.7,8.2,22.3,0.065
196,Chase Budinger,PHX,28,39,20,19,16,100,1.9,12.1,17.7,0.5,17.8,0.2,12.3,5.9,4.8,3.8,14.9,0.064
196,Derrick Favors,UTA,24,26,11,15,32.6,106.5,5.4,18.3,26.4,1.5,26.6,1.2,43.5,9.7,7,9.4,26.7,0.064
196,Karl-Anthony Towns,MIN,20,45,14,31,29.3,105.7,7.1,24.4,35.9,0.7,13.8,1.8,62,9.8,7.7,7.6,27.1,0.064
196,RJ Hunter,BOS,22,22,13,9,11,94.6,1.2,11.2,16.6,0.5,25,0.2,19,4.3,2.6,3.5,10.3,0.064
196,Ryan Anderson,NOP,28,41,15,26,31.3,106.2,4.1,13,19,0.6,13,0.4,12.6,9.8,8.4,7.4,28.6,0.064
201,Aaron Brooks,CHI,31,33,20,13,15.8,99.9,1.5,8.3,12,0.2,13.8,0.2,8.3,5.5,4.4,4.4,13.3,0.063
201,Jahlil Okafor,PHI,20,40,5,35,30.8,106.1,5.1,16.5,24.4,0.5,10.7,1.1,27.3,13.7,8.4,11.4,28,0.063
201,Joe Johnson,MIA,35,44,11,33,34.2,107.1,3.3,9.8,13.9,0.7,13,0,0.9,11.8,8.2,9.9,31.7,0.063
201,Khris Middleton,MIL,24,46,19,27,36,107.1,3.2,8.9,13.9,1.1,18.3,0.2,4.9,12.2,11.1,9.8,31.6,0.063
201,Nikola Vučević,ORL,25,39,18,21,31.1,106.2,5.7,19.3,27.5,0.8,15.8,1.1,38.3,10,6.9,8.2,25.7,0.063
206,Anderson Varejao,GSW,33,26,18,8,9.1,90.3,2,21.3,30.8,0.3,20,0.1,17.6,3,2.3,2.4,6.4,0.062
206,Brandon Knight,PHX,24,42,13,29,36.3,107.2,3.1,8.7,12.5,1.3,20.8,0.3,10.6,15,9.3,12.3,33,0.062
206,Hollis Thompson,PHI,25,42,6,36,26.7,105.4,2.8,10.3,16,0.4,8.7,0.3,9.2,13.4,8.6,9.2,24.1,0.062
206,Jrue Holiday,NOP,26,37,16,21,25,104.8,2.4,9.5,13.9,1.1,25.6,0.4,12.7,7.6,6.5,5.1,20.3,0.062
206,Lance Thomas,NYK,28,43,21,22,21.3,103.7,1.5,6.5,10.4,0.4,14.2,0.1,4.9,8.1,6.3,5.6,20.2,0.062
206,Nikola Jokić,DEN,21,42,15,27,19,102.2,3.3,18,25.2,0.9,28.7,0.5,32.4,6.1,3.9,4.5,14.9,0.062
206,Steve Blake,DET,36,29,17,12,15.5,100.1,1.3,8.6,12.5,0.5,18.7,0.1,9.1,4.4,3.6,3.3,13.9,0.062
213,JaMychal Green,MEM,26,45,25,20,14.8,100.1,2.8,19.4,28.7,0.3,10.3,0.3,19.7,5.6,3.1,4.6,10.9,0.061
213,Jabari Parker,MIL,21,40,18,22,27.8,105.8,3,10.8,16.6,0.8,16.4,0.4,12.9,10.1,9.1,7.9,25.1,0.061
213,Jerryd Bayless,MIL,27,28,11,17,28.5,105.8,2.3,7.7,12.1,1,24.6,0.2,5.4,12.1,8.3,8.4,24.6,0.061
213,Vince Carter,MEM,39,27,16,11,13.1,98.5,1.4,10,15.3,0.4,19.7,0.3,23.7,4.9,3.6,4,8.5,0.061
213,Zach Randolph,MEM,34,40,22,18,28.6,105.8,5.1,19.4,29.1,0.6,12.3,0.2,9.4,9.7,7.6,8.6,23.8,0.061
218,Greg Monroe,MIL,26,44,19,25,30.3,106.4,6.8,23,34.9,1,19.7,0.9,31.5,10.4,8.8,8.4,26.9,0.06
218,Rasual Butler,SAS,37,28,26,2,9.2,91.7,1.2,12.4,16.8,0.3,18.9,0.5,41.2,2.9,1.8,2.2,8.2,0.06
218,Rudy Gay,SAC,29,39,16,23,34,107.1,5.2,15,21.5,1.3,21.8,0.7,22.7,12.8,9,10.3,30.2,0.06
218,Tarik Black,LAL,24,13,1,12,11.5,96.1,3.2,27.3,38.9,0.2,10.5,0.3,36.4,4.5,3.5,2.7,10.2,0.06
222,Ed Davis,POR,27,45,19,26,21.1,103.7,4.4,19.9,28.7,0.6,22.5,0.7,40.2,7.2,5.4,4.6,15.9,0.059
222,James Harden,HOU,26,45,23,22,37.4,107.6,5.2,14.1,21.2,1.5,20.5,0.6,16.4,15.1,10.9,10.9,35.2,0.059
222,Leandro Barbosa,GSW,33,31,28,3,14.4,99.6,1.1,7.1,10.9,0.9,32.5,0.2,7.7,5.3,4.4,3.9,13.9,0.059
225,Alex Len,PHX,23,42,14,28,19.2,103.1,4.1,20.9,30.5,0.5,15.3,0.9,45.7,7.4,5.3,6.1,15.7,0.058
225,Luc Mbah a Moute,LAC,29,41,27,14,15.1,100.5,1.5,9.6,13.9,0.4,16.1,0.3,24.5,3.9,3.2,3.5,12.4,0.058
225,Michael Carter-Williams,MIL,24,41,16,25,30.8,106.8,4.1,13.4,20.5,1.6,31,0.7,19.4,11.2,9,8.6,26.6,0.058
225,P.J. Tucker,PHX,31,45,14,31,28.4,106.2,4,14.4,20.4,1.2,23.3,0.2,12.9,11.7,7.4,8.9,23.6,0.058
229,Alonzo Gee,NOP,29,43,16,27,20.9,104.1,2.5,11.5,17.3,0.8,22.1,0.2,8.4,6.6,6.7,5.2,19.4,0.057
229,Chris Johnson,UTA,26,34,17,17,10.8,96.9,1.4,12.1,17.5,0.6,26.4,0.2,15.6,3.7,2.9,1.9,7.2,0.057
229,Damian Lillard,POR,25,39,16,23,36.2,107.7,3.7,10.2,14.7,0.9,19.8,0.3,10,12.9,8.8,7.3,32.1,0.057
